Duracion,Probabilidad
90,0.000794463
91,0.000804564
92,0.000814738
93,0.000824983
94,0.0008353
95,0.000845686
96,0.000856141
97,0.000866665
98,0.000877256
99,0.000887913
100,0.000898636
101,0.000909423
102,0.000920273
103,0.000931186
104,0.00094216
105,0.000953193
106,0.000964286
107,0.000975436
108,0.000986643
109,0.000997905
110,0.00100922
111,0.00102059
112,0.00103201
113,0.00104348
114,0.001055
115,0.00106656
116,0.00107817
117,0.00108983
118,0.00110152
119,0.00111326
120,0.00112504
121,0.00113685
122,0.00114871
123,0.00116059
124,0.00117251
125,0.00118446
126,0.00119645
127,0.00120845
128,0.00122049
129,0.00123255
130,0.00124463
131,0.00125673
132,0.00126885
133,0.00128099
134,0.00129315
135,0.00130531
136,0.00131749
137,0.00132968
138,0.00134187
139,0.00135407
140,0.00136627
141,0.00137847
142,0.00139068
143,0.00140288
144,0.00141507
145,0.00142726
146,0.00143943
147,0.0014516
148,0.00146375
149,0.00147589
150,0.00148801
151,0.00150011
152,0.00151218
153,0.00152423
154,0.00153626
155,0.00154825
156,0.00156021
157,0.00157214
158,0.00158404
159,0.00159589
160,0.00160771
161,0.00161948
162,0.00163121
163,0.00164289
164,0.00165452
165,0.0016661
166,0.00167762
167,0.00168909
168,0.0017005
169,0.00171185
170,0.00172313
171,0.00173435
172,0.0017455
173,0.00175658
174,0.00176759
175,0.00177853
176,0.00178938
177,0.00180016
178,0.00181085
179,0.00182147
180,0.00183199
181,0.00184243
182,0.00185277
183,0.00186303
184,0.00187319
185,0.00188325
186,0.00189321
187,0.00190308
188,0.00191284
189,0.00192249
190,0.00193203
191,0.00194147
192,0.0019508
193,0.00196001
194,0.0019691
195,0.00197808
196,0.00198694
197,0.00199568
198,0.00200429
199,0.00201278
200,0.00202114
201,0.00202938
202,0.00203748
203,0.00204545
204,0.00205329
205,0.00206099
206,0.00206855
207,0.00207597
208,0.00208326
209,0.0020904
210,0.0020974
211,0.00210425
212,0.00211096
213,0.00211752
214,0.00212393
215,0.00213019
216,0.0021363
217,0.00214225
218,0.00214805
219,0.0021537
220,0.00215918
221,0.00216451
222,0.00216968
223,0.0021747
224,0.00217955
225,0.00218424
226,0.00218876
227,0.00219313
228,0.00219732
229,0.00220136
230,0.00220523
231,0.00220893
232,0.00221246
233,0.00221583
234,0.00221903
235,0.00222206
236,0.00222492
237,0.00222762
238,0.00223014
239,0.00223249
240,0.00223468
241,0.00223669
242,0.00223853
243,0.00224021
244,0.00224171
245,0.00224304
246,0.0022442
247,0.00224519
248,0.00224601
249,0.00224666
250,0.00224714
251,0.00224745
252,0.00224759
253,0.00224756
254,0.00224737
255,0.002247
256,0.00224647
257,0.00224577
258,0.00224491
259,0.00224388
260,0.00224268
261,0.00224133
262,0.0022398
263,0.00223812
264,0.00223627
265,0.00223427
266,0.0022321
267,0.00222978
268,0.00222729
269,0.00222466
270,0.00222186
271,0.00221891
272,0.00221581
273,0.00221256
274,0.00220916
275,0.00220561
276,0.00220191
277,0.00219806
278,0.00219407
279,0.00218994
280,0.00218567
281,0.00218125
282,0.0021767
283,0.00217201
284,0.00216719
285,0.00216223
286,0.00215714
287,0.00215192
288,0.00214658
289,0.00214111
290,0.00213551
291,0.00212979
292,0.00212395
293,0.00211799
294,0.00211192
295,0.00210573
296,0.00209943
297,0.00209302
298,0.0020865
299,0.00207987
300,0.00207314
301,0.00206631
302,0.00205938
303,0.00205235
304,0.00204522
305,0.002038
306,0.00203069
307,0.0020233
308,0.00201581
309,0.00200824
310,0.00200059
311,0.00199286
312,0.00198506
313,0.00197717
314,0.00196922
315,0.00196119
316,0.0019531
317,0.00194494
318,0.00193672
319,0.00192844
320,0.0019201
321,0.0019117
322,0.00190325
323,0.00189475
324,0.00188619
325,0.0018776
326,0.00186895
327,0.00186027
328,0.00185155
329,0.00184278
330,0.00183399
331,0.00182516
332,0.0018163
333,0.00180741
334,0.0017985
335,0.00178957
336,0.00178061
337,0.00177164
338,0.00176265
339,0.00175364
340,0.00174463
341,0.0017356
342,0.00172657
343,0.00171753
344,0.00170849
345,0.00169945
346,0.00169041
347,0.00168137
348,0.00167234
349,0.00166332
350,0.0016543
351,0.0016453
352,0.00163632
353,0.00162735
354,0.0016184
355,0.00160947
356,0.00160056
357,0.00159167
358,0.00158281
359,0.00157398
360,0.00156518
361,0.00155641
362,0.00154768
363,0.00153898
364,0.00153031
365,0.00152169
366,0.0015131
367,0.00150456
368,0.00149607
369,0.00148761
370,0.00147921
371,0.00147085
372,0.00146255
373,0.00145429
374,0.00144609
375,0.00143794
376,0.00142985
377,0.00142182
378,0.00141385
379,0.00140593
380,0.00139808
381,0.00139029
382,0.00138257
383,0.00137491
384,0.00136731
385,0.00135979
386,0.00135233
387,0.00134494
388,0.00133763
389,0.00133038
390,0.00132321
391,0.00131611
392,0.00130909
393,0.00130214
394,0.00129526
395,0.00128847
396,0.00128175
397,0.00127511
398,0.00126855
399,0.00126208
400,0.00125568
401,0.00124936
402,0.00124313
403,0.00123697
404,0.0012309
405,0.00122492
406,0.00121902
407,0.0012132
408,0.00120747
409,0.00120182
410,0.00119626
411,0.00119078
412,0.00118539
413,0.00118009
414,0.00117487
415,0.00116975
416,0.0011647
417,0.00115975
418,0.00115488
419,0.0011501
420,0.00114541
421,0.0011408
422,0.00113628
423,0.00113185
424,0.00112751
425,0.00112325
426,0.00111908
427,0.001115
428,0.00111101
429,0.0011071
430,0.00110328
431,0.00109954
432,0.00109589
433,0.00109233
434,0.00108885
435,0.00108545
436,0.00108215
437,0.00107892
438,0.00107578
439,0.00107273
440,0.00106975
441,0.00106686
442,0.00106405
443,0.00106133
444,0.00105868
445,0.00105612
446,0.00105363
447,0.00105123
448,0.0010489
449,0.00104666
450,0.00104449
451,0.00104239
452,0.00104038
453,0.00103844
454,0.00103657
455,0.00103478
456,0.00103307
457,0.00103142
458,0.00102985
459,0.00102835
460,0.00102693
461,0.00102557
462,0.00102428
463,0.00102306
464,0.0010219
465,0.00102082
466,0.0010198
467,0.00101884
468,0.00101795
469,0.00101713
470,0.00101636
471,0.00101566
472,0.00101502
473,0.00101444
474,0.00101391
475,0.00101345
476,0.00101304
477,0.00101269
478,0.0010124
479,0.00101216
480,0.00101197
481,0.00101184
482,0.00101176
483,0.00101172
484,0.00101174
485,0.00101181
486,0.00101193
487,0.00101209
488,0.0010123
489,0.00101255
490,0.00101285
491,0.00101319
492,0.00101357
493,0.001014
494,0.00101446
495,0.00101497
496,0.00101551
497,0.00101609
498,0.00101671
499,0.00101736
500,0.00101804
501,0.00101876
502,0.00101952
503,0.0010203
504,0.00102112
505,0.00102196
506,0.00102283
507,0.00102374
508,0.00102466
509,0.00102562
510,0.0010266
511,0.0010276
512,0.00102863
513,0.00102968
514,0.00103075
515,0.00103184
516,0.00103295
517,0.00103408
518,0.00103522
519,0.00103639
520,0.00103757
521,0.00103876
522,0.00103997
523,0.00104119
524,0.00104242
525,0.00104367
526,0.00104493
527,0.00104619
528,0.00104747
529,0.00104875
530,0.00105004
531,0.00105134
532,0.00105264
533,0.00105395
534,0.00105526
535,0.00105657
536,0.00105789
537,0.00105921
538,0.00106053
539,0.00106185
540,0.00106317
541,0.00106449
542,0.00106581
543,0.00106712
544,0.00106843
545,0.00106973
546,0.00107104
547,0.00107233
548,0.00107362
549,0.0010749
550,0.00107617
551,0.00107744
552,0.0010787
553,0.00107994
554,0.00108118
555,0.00108241
556,0.00108362
557,0.00108482
558,0.00108601
559,0.00108719
560,0.00108835
561,0.00108949
562,0.00109063
563,0.00109174
564,0.00109284
565,0.00109392
566,0.00109499
567,0.00109604
568,0.00109707
569,0.00109808
570,0.00109907
571,0.00110004
572,0.00110099
573,0.00110192
574,0.00110283
575,0.00110371
576,0.00110458
577,0.00110542
578,0.00110624
579,0.00110703
580,0.0011078
581,0.00110855
582,0.00110927
583,0.00110997
584,0.00111064
585,0.00111128
586,0.0011119
587,0.00111249
588,0.00111306
589,0.0011136
590,0.00111411
591,0.00111459
592,0.00111504
593,0.00111547
594,0.00111586
595,0.00111623
596,0.00111657
597,0.00111688
598,0.00111715
599,0.0011174
600,0.00111762
601,0.00111781
602,0.00111796
603,0.00111809
604,0.00111818
605,0.00111824
606,0.00111827
607,0.00111827
608,0.00111823
609,0.00111816
610,0.00111806
611,0.00111793
612,0.00111777
613,0.00111757
614,0.00111733
615,0.00111707
616,0.00111677
617,0.00111644
618,0.00111607
619,0.00111567
620,0.00111524
621,0.00111477
622,0.00111427
623,0.00111374
624,0.00111317
625,0.00111256
626,0.00111193
627,0.00111125
628,0.00111055
629,0.00110981
630,0.00110903
631,0.00110822
632,0.00110738
633,0.0011065
634,0.00110558
635,0.00110464
636,0.00110365
637,0.00110264
638,0.00110158
639,0.0011005
640,0.00109938
641,0.00109822
642,0.00109703
643,0.00109581
644,0.00109455
645,0.00109326
646,0.00109194
647,0.00109058
648,0.00108918
649,0.00108775
650,0.00108629
651,0.0010848
652,0.00108327
653,0.00108171
654,0.00108011
655,0.00107848
656,0.00107682
657,0.00107513
658,0.0010734
659,0.00107164
660,0.00106985
661,0.00106802
662,0.00106616
663,0.00106427
664,0.00106235
665,0.0010604
666,0.00105841
667,0.00105639
668,0.00105435
669,0.00105227
670,0.00105016
671,0.00104802
672,0.00104584
673,0.00104364
674,0.00104141
675,0.00103915
676,0.00103685
677,0.00103453
678,0.00103218
679,0.0010298
680,0.00102739
681,0.00102495
682,0.00102249
683,0.00101999
684,0.00101747
685,0.00101492
686,0.00101234
687,0.00100973
688,0.0010071
689,0.00100444
690,0.00100175
691,0.000999042
692,0.000996304
693,0.000993539
694,0.000990749
695,0.000987934
696,0.000985094
697,0.000982229
698,0.000979339
699,0.000976426
700,0.000973488
701,0.000970527
702,0.000967542
703,0.000964534
704,0.000961503
705,0.00095845
706,0.000955375
707,0.000952277
708,0.000949158
709,0.000946018
710,0.000942856
711,0.000939674
712,0.000936471
713,0.000933248
714,0.000930006
715,0.000926743
716,0.000923461
717,0.000920161
718,0.000916841
719,0.000913504
720,0.000910148
721,0.000906774
722,0.000903384
723,0.000899975
724,0.000896551
725,0.000893109
726,0.000889652
727,0.000886178
728,0.000882689
729,0.000879185
730,0.000875666
731,0.000872132
732,0.000868584
733,0.000865021
734,0.000861446
735,0.000857857
736,0.000854254
737,0.000850639
738,0.000847012
739,0.000843373
740,0.000839722
741,0.000836059
742,0.000832385
743,0.000828701
744,0.000825006
745,0.0008213
746,0.000817585
747,0.000813861
748,0.000810127
749,0.000806384
750,0.000802633
751,0.000798873
752,0.000795105
753,0.00079133
754,0.000787547
755,0.000783757
756,0.000779961
757,0.000776158
758,0.000772349
759,0.000768534
760,0.000764714
761,0.000760888
762,0.000757058
763,0.000753223
764,0.000749384
765,0.000745541
766,0.000741694
767,0.000737843
768,0.00073399
769,0.000730134
770,0.000726275
771,0.000722414
772,0.000718552
773,0.000714687
774,0.000710822
775,0.000706955
776,0.000703087
777,0.000699219
778,0.000695351
779,0.000691483
780,0.000687616
781,0.000683749
782,0.000679883
783,0.000676018
784,0.000672155
785,0.000668293
786,0.000664434
787,0.000660576
788,0.000656722
789,0.00065287
790,0.000649021
791,0.000645176
792,0.000641334
793,0.000637496
794,0.000633662
795,0.000629833
796,0.000626008
797,0.000622188
798,0.000618373
799,0.000614563
800,0.000610759
801,0.000606961
802,0.000603169
803,0.000599383
804,0.000595604
805,0.000591831
806,0.000588066
807,0.000584308
808,0.000580557
809,0.000576813
810,0.000573078
811,0.000569351
812,0.000565632
813,0.000561921
814,0.000558219
815,0.000554527
816,0.000550843
817,0.000547168
818,0.000543503
819,0.000539848
820,0.000536203
821,0.000532568
822,0.000528943
823,0.000525328
824,0.000521725
825,0.000518132
826,0.00051455
827,0.000510979
828,0.000507419
829,0.000503871
830,0.000500335
831,0.000496811
832,0.000493299
833,0.000489798
834,0.000486311
835,0.000482835
836,0.000479373
837,0.000475923
838,0.000472486
839,0.000469062
840,0.000465651
841,0.000462254
842,0.00045887
843,0.0004555
844,0.000452143
845,0.000448801
846,0.000445472
847,0.000442158
848,0.000438858
849,0.000435572
850,0.000432301
851,0.000429044
852,0.000425802
853,0.000422575
854,0.000419363
855,0.000416166
856,0.000412983
857,0.000409817
858,0.000406665
859,0.000403529
860,0.000400408
861,0.000397303
862,0.000394214
863,0.00039114
864,0.000388083
865,0.000385041
866,0.000382015
867,0.000379005
868,0.000376012
869,0.000373034
870,0.000370073
871,0.000367128
872,0.0003642
873,0.000361288
874,0.000358392
875,0.000355513
876,0.000352651
877,0.000349805
878,0.000346976
879,0.000344164
880,0.000341368
881,0.00033859
882,0.000335828
883,0.000333083
884,0.000330355
885,0.000327644
886,0.00032495
887,0.000322273
888,0.000319614
889,0.000316971
890,0.000314345
891,0.000311736
892,0.000309145
893,0.000306571
894,0.000304013
895,0.000301473
896,0.000298951
897,0.000296445
898,0.000293956
899,0.000291485
900,0.000289031
901,0.000286594
902,0.000284174
903,0.000281772
904,0.000279387
905,0.000277018
906,0.000274667
907,0.000272333
908,0.000270017
909,0.000267717
910,0.000265434
911,0.000263169
912,0.00026092
913,0.000258689
914,0.000256474
915,0.000254277
916,0.000252097
917,0.000249933
918,0.000247786
919,0.000245657
920,0.000243544
921,0.000241448
922,0.000239368
923,0.000237306
924,0.00023526
925,0.00023323
926,0.000231218
927,0.000229221
928,0.000227242
929,0.000225279
930,0.000223332
931,0.000221402
932,0.000219488
933,0.00021759
934,0.000215708
935,0.000213843
936,0.000211994
937,0.000210161
938,0.000208344
939,0.000206542
940,0.000204757
941,0.000202988
942,0.000201234
943,0.000199496
944,0.000197774
945,0.000196067
946,0.000194376
947,0.0001927
948,0.00019104
949,0.000189395
950,0.000187765
951,0.000186151
952,0.000184552
953,0.000182967
954,0.000181398
955,0.000179843
956,0.000178304
957,0.000176779
958,0.000175269
959,0.000173773
960,0.000172292
